2804:741c:4e00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4e80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4f00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:4f80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5000::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5080::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5a00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5a80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5b00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5b80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5c00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5c80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5d00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5d80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5e00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5e80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5f00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:5f80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6000::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6080::/41,BR,BR-RS,Caxias do Sul,
